,year,kind,rating,vote,runtime,first_country,num_language,first_genre,second_genre,first_actor,second_actor,first_director,first_composer,first_writer
141,1996,1,7,1960.0,89.0,61,1,6,15,1876,1943,2675,2652,5036
142,2004,7,5,12532.0,94.0,62,1,0,2,3213,4928,3439,1122,4181
143,1987,4,7,3221.0,417.0,61,1,4,0,1152,2501,4121,2652,3890
144,2004,1,6,1916.0,252.0,15,4,4,8,3682,1615,1667,77,2025
145,1990,1,6,18.0,87.0,58,1,1,10,1852,4346,1519,2652,1822
146,1993,4,6,10920.0,160.0,62,1,7,9,2059,2616,4121,2652,440
147,1997,1,6,194.0,43.0,34,2,4,8,4924,1663,2069,2634,212
148,1981,1,4,1038.0,117.0,55,2,0,6,112,265,1780,1180,2172
149,1974,1,4,641.0,74.0,35,1,7,14,1549,2506,3526,465,4298
150,1990,7,8,180.0,92.0,62,1,6,15,503,4367,1807,2652,5036
151,1987,1,4,27.0,94.0,43,0,20,0,4597,3068,2523,2652,2026
152,1998,1,6,3424.0,97.0,30,1,4,8,3727,111,3437,15,4178
153,1999,1,6,434.0,110.0,36,1,0,8,3586,3615,613,2565,4549
154,1976,1,7,14259.0,28.0,10,2,7,14,2258,3659,2842,414,2761
155,2002,1,6,1493.0,60.0,61,1,4,6,1693,671,2258,2340,2758
156,1993,7,8,191.0,23.0,61,1,6,15,4648,4405,1660,2652,5036
157,1979,4,7,58.0,31.0,61,1,16,0,3300,3945,4121,2652,4606
158,2004,7,4,75.0,65.0,62,1,6,26,3042,5298,918,2652,3951
159,1984,1,7,1532.0,25.0,23,1,7,15,2463,4437,1182,2652,1748
160,2002,1,5,5850.0,51.0,23,1,0,6,4354,4086,1418,159,3063
161,1993,3,5,370.0,30.0,62,1,4,8,2359,4440,2680,587,938
162,1976,1,6,19667.0,134.0,37,1,7,20,4496,1538,2789,1780,2752
163,1999,1,6,3284.0,169.0,47,1,7,13,581,1183,201,2603,64
164,2001,7,4,1144.0,114.5,62,1,0,6,4681,315,3331,2327,4138
165,1987,1,8,67916.0,60.0,65,7,7,10,674,5103,4047,1376,4945
166,1966,1,5,5148.0,61.0,37,1,0,2,124,3168,2077,1653,34
167,1998,1,7,809.0,58.0,62,1,6,4,1351,4411,2153,2652,1542
168,2002,7,2,417.0,241.0,4,1,0,14,2609,1311,916,2652,1055
169,2004,1,6,56.0,106.0,67,1,6,5,1647,0,2964,2652,1566
170,1998,1,7,973.0,104.0,62,1,4,0,1035,1307,4121,2652,915
171,1999,1,5,13301.0,154.0,62,1,4,9,894,2464,1009,1243,2334
172,2000,2,8,18147.0,155.0,61,1,1,5,1224,1180,4121,2652,4372
173,2004,7,7,31.0,110.0,62,2,8,0,1167,4280,3663,2652,4450
174,2002,4,7,4265.0,80.5,37,2,2,5,3900,1108,4121,2652,803
175,2001,1,7,25554.0,51.0,37,2,2,8,3350,3498,3484,2382,4243
176,1995,0,9,2399.0,90.0,61,1,7,0,954,4417,2955,2652,100
177,2003,0,7,22.0,88.0,67,0,6,0,2339,0,4121,446,1226
178,1996,1,6,1656.0,88.0,55,1,4,20,232,2829,2430,245,4987
179,2002,1,5,385.0,83.0,37,1,2,1,3373,2168,3907,2652,4568
180,1997,1,6,101046.0,116.0,61,1,1,5,4043,4389,2602,1006,4133
181,2003,1,3,1357.0,84.0,62,1,1,5,942,1489,3731,2591,4551
182,2002,1,7,28156.0,8.0,4,2,3,8,1471,5360,3097,1963,1170
183,2001,1,7,120.0,101.0,34,2,6,13,4926,0,15,1799,5036
184,1984,1,7,906.0,91.0,56,1,6,0,1041,2220,1551,2652,1864
186,2000,0,7,67.0,108.5,67,0,6,4,4149,2575,2112,2173,2563
187,1992,4,9,93363.0,117.25,62,1,2,1,2645,1534,4121,2652,498
188,2005,7,8,121.0,126.0,62,1,6,22,938,1631,4121,2652,5036
189,1971,1,6,1364.0,142.0,62,1,7,10,1261,634,1629,2652,1970
190,1998,4,7,186.0,76.0,37,1,2,1,4475,3446,4121,2652,368
191,1959,4,9,75773.0,97.0,62,0,7,10,3993,4690,4121,2652,4066
192,1985,1,7,23.0,143.0,61,1,6,15,4051,4992,3326,2652,4022
193,1989,4,6,8365.0,161.5,62,1,4,8,3418,3759,4121,2652,4481
194,2003,1,6,466400.0,180.0,62,2,0,21,3071,5276,2262,642,2877
195,1997,1,8,364432.0,108.0,37,1,2,1,531,582,1454,1211,1730
196,1998,1,8,61463.0,79.5,35,3,7,15,4579,4452,1343,712,152
198,1997,1,8,868.0,110.0,62,1,4,0,1633,0,3353,2652,1555
199,1988,1,8,1943.0,90.0,62,1,6,5,1633,4692,467,2652,1555
200,2002,3,7,165.0,97.0,61,1,6,0,72,2157,2001,1324,4471
201,1992,2,7,521.0,91.0,62,1,7,20,0,367,4121,2652,2416
202,2001,1,7,8963.0,143.0,35,2,7,20,2968,5141,1177,131,1592
203,1999,3,5,1567.0,70.0,62,1,3,8,1800,1642,670,1148,381
204,2000,1,6,6665.0,102.0,30,3,0,8,4138,2179,3956,2253,4813
205,2004,7,8,29.0,33.0,62,1,14,0,4569,3291,455,2652,5036
206,2003,0,8,114.0,102.0,62,1,7,0,2477,5607,614,2652,4480
207,2003,1,8,81.0,60.0,67,0,6,5,3344,0,4121,2652,5036
208,1959,4,9,75773.0,30.0,62,0,7,10,3993,4690,4121,2652,4066
209,2005,7,3,464.0,50.0,8,1,0,8,862,382,2508,1064,948
210,1995,1,6,1958.0,118.0,61,1,4,8,213,2997,2713,1262,1439
211,2000,7,8,184.0,97.0,62,2,6,15,722,829,4121,2652,5036
212,2005,7,2,75.0,44.0,62,1,0,14,206,4741,2315,2652,2837
213,1969,1,7,8868.0,60.0,61,4,4,8,2924,4707,3406,2150,3393
214,1979,1,7,450.0,93.0,62,2,6,15,1914,1273,2782,2652,5036
215,2003,4,6,76.0,93.0,37,1,2,1,4899,966,4121,2652,2597
217,1998,1,6,559.0,105.0,10,1,7,9,3236,3297,2617,844,4944
218,1988,1,5,8667.0,96.0,4,1,4,13,4863,4188,4066,1637,4964
219,2003,3,5,283.0,83.0,10,1,5,8,1000,1964,589,1724,607
221,1999,4,7,2029.0,57.0,62,1,19,3,3427,566,4121,2652,3962
223,2005,7,5,86.0,182.0,62,1,6,0,4679,5633,2614,472,5036
224,1995,1,7,9557.0,97.0,30,1,4,8,4721,64,3147,15,1676
225,1996,0,8,190.0,90.0,61,1,5,8,1207,3852,3230,459,782
226,1999,1,6,1777.0,105.0,10,1,4,0,2817,5282,150,837,4762
227,1963,1,8,39523.0,40.0,37,1,5,8,4670,5286,68,1653,1776
228,2002,1,4,1149.0,98.0,23,1,0,5,3508,98,2072,1408,4510
229,2003,7,8,30.0,95.0,62,1,6,15,4020,2748,2539,2473,5036
230,1997,4,6,37.0,92.0,37,1,2,5,1590,223,4121,2652,4241
231,1983,1,6,4735.0,6.0,27,1,0,5,4124,2723,3459,396,4208
233,1959,4,9,75773.0,14.0,62,0,7,10,3993,4690,4121,2652,4066
234,1974,3,7,2000.0,115.0,62,1,7,13,910,1625,1921,793,4759
235,1996,1,6,941.0,98.0,37,1,2,8,1834,3132,2902,691,3544
236,1986,1,6,1739.0,88.0,62,1,3,5,3871,1327,3221,982,4061
237,1998,1,5,5760.0,32.0,62,1,7,17,3118,3906,777,2256,912
238,1995,1,7,5444.0,95.0,23,1,5,8,1701,461,4084,914,1405
239,1983,3,7,3019.0,89.0,62,3,7,13,1733,1010,1765,712,1915
241,1974,1,5,1536.0,240.0,61,1,13,0,427,4270,3003,2312,1024
243,1943,1,6,596.0,110.0,62,1,18,5,3808,1549,3970,512,4360
244,1976,4,3,406.0,90.0,62,1,4,15,1513,4702,4121,2652,4457
245,2001,4,6,26259.0,113.0,62,1,4,9,1023,5398,4121,2652,1153
246,1992,7,7,213.0,71.5,61,1,14,0,3370,1103,3208,2652,5036
247,2000,1,5,2477.0,30.0,27,3,0,5,4651,1544,1823,1967,4529
248,1967,1,7,9899.0,195.0,61,1,13,17,2002,276,3423,2511,3487
249,2005,3,6,184.0,360.0,62,1,2,1,1172,3616,2139,937,2264
251,2004,7,4,6.0,109.0,62,1,5,14,188,1688,2658,2652,5036
252,1967,1,6,2702.0,93.0,61,1,9,14,1948,758,1222,639,3968
253,1993,1,7,13279.0,103.0,4,1,4,6,3428,1036,3387,903,4089
254,1980,0,6,361.0,91.0,61,1,1,8,4608,3192,2371,2652,990
255,2003,4,7,409.0,103.0,10,1,2,1,995,3834,4121,2652,1847
256,2002,1,6,1615.0,24.0,55,2,4,8,2799,4794,799,1356,936
257,1999,1,2,2655.0,88.0,62,1,4,0,429,4527,3963,518,4819
258,1971,1,6,2192.0,102.0,65,5,4,8,2876,1501,3134,1947,3807
259,2003,1,6,155.0,95.0,10,1,2,1,3481,2793,3400,116,529
260,1993,1,7,27102.0,160.0,30,1,5,8,4214,2922,32,179,4055
261,2002,3,7,152.0,109.0,62,1,6,13,3937,465,3055,1737,1142
262,2002,3,5,354.0,100.0,62,1,6,4,378,5627,3600,2413,5036
263,1992,2,7,2535.0,101.0,10,1,3,6,627,3893,4121,2652,2484
264,1990,0,7,449.0,93.0,62,1,4,21,4671,2624,1803,2652,2254
265,1994,3,6,468.0,90.0,62,1,0,27,2610,612,2487,196,3214
266,2004,1,7,21534.0,30.0,61,2,7,20,1402,2276,3560,83,223
267,2003,7,7,29.0,92.0,61,1,14,0,2468,949,4121,2652,5036
268,1999,7,5,124.0,91.0,62,2,20,15,3898,0,2850,2652,5036
269,1977,1,6,232.0,24.0,58,1,0,2,2241,1714,1821,2652,2896
271,2001,1,6,4106.0,100.0,62,1,4,6,867,5367,636,2039,748
273,2002,1,7,2581.0,84.0,62,1,6,5,4825,4976,343,2652,3163
274,1980,1,4,17.0,105.0,27,1,0,8,2815,5726,4070,2652,5036
275,2003,1,7,33.0,107.0,62,1,7,21,3752,3449,1958,674,2376
276,1991,1,5,6796.0,60.0,62,1,4,8,2643,1569,2161,1777,548
277,2000,1,8,136327.0,63.0,27,4,7,20,2922,5459,2103,1700,2555
278,1965,1,7,8157.0,80.0,16,1,4,20,1764,5616,2748,740,3343
279,1990,7,7,34.0,89.0,62,1,20,15,3250,3965,1744,2652,5036
280,2000,1,6,2176.0,101.0,4,1,4,8,1150,5238,2002,565,2430
281,1951,1,5,491.0,112.0,62,1,25,0,4031,4560,2336,1549,929
282,1995,3,5,508.0,90.0,10,1,19,25,3045,5170,2013,1754,3252
283,1994,1,6,1961.0,105.0,55,1,5,8,727,4828,1547,1352,1859
284,2003,3,6,248.0,44.0,62,1,6,13,3947,2667,2503,777,1258
287,1992,1,6,41054.0,98.0,62,1,7,25,312,4519,737,900,209
288,2001,3,7,444.0,91.0,62,1,2,7,2324,0,3104,422,1546
289,1978,1,6,18314.0,94.0,62,1,7,14,1617,3855,2638,1175,3230
291,1997,4,8,8294.0,74.0,62,1,2,1,2602,4585,4121,2652,4696
292,1993,1,6,943.0,90.0,10,1,18,26,4065,985,28,2540,45
293,2004,2,7,177.0,83.0,62,1,6,13,3189,495,4121,2652,1080
